,Cadps2_class,Calb2_class,Cdh13_class,Cnr1_class,Cplx2_class,Cryab_class,Cxcl14_class,Gad1_class,Id2_class,Lhx6_class,Pcp4_class,Pde1a_class,Penk_class,Plp1_class,Pnoc_class,Pvalb_class,Reln_class,Rgs4_class,Satb1_class,Snca_class,Sncg_class,Sst_class,Zero
Gda,0.0,0.0,0.0002925305761787483,0.0,0.0,0.0,0.0,0.012011167097567613,0.0,0.0,0.03129394710582673,0.07709917504348254,0.0,0.0008173404472986102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grin3a,0.2094387142737068,0.0001763290992905604,0.1552482058273045,0.2753471134057344,0.22743731929910022,0.5811428529181477,0.3771843056100354,0.02869348746102457,0.0962548972564199,0.5660954218854393,0.13488486187058976,0.11086302308288763,0.10204526605745484,0.04673866032794354,0.21903038642241768,1.213432717549862,0.20558871834340772,0.23267307007407542,0.3214822734881185,0.35350949144066657,0.67649206625349,0.08374505768735166,0.03444240890762985
Hapln1,0.0005655957270608975,0.7546589555459894,0.0,0.0,0.0,0.05152213783556447,0.057083544135617545,0.07081753925487559,0.05176198976825074,0.00042003812585484626,0.06879073866780222,0.0,0.08763707387201786,0.015874050503159404,0.05522511363029211,0.0,0.024574879680725522,0.06505562695772561,0.03624229308127673,0.01781205695464474,0.0,0.0,0.002476745118235486
Htr3a,0.05104603057803928,0.9814320479810349,0.25362517120617734,0.0,0.05615905569985151,0.19092391601999076,0.0,0.09138531900605812,0.03503515161760007,0.17965198905398375,0.22277935343360358,0.2089448420292863,0.04753134872079695,0.007980827046919036,0.0,0.22818758960139682,0.0004535643374725973,0.0,0.03163999929691773,0.01563173468209243,0.48511188031473174,0.39780839418659036,0.009580594346877367
Id2,0.2440621211679597,0.16128995363763338,0.06697893421916407,0.308286156751972,0.23198183178474305,0.12216505543015989,0.9464439017654942,0.25299591433008506,3.0750436495723488,0.2740646892988272,0.33275651229091485,0.3862255022081816,0.03873871309822123,0.5298562993344582,0.06917988618292094,0.3091827740299025,0.33938309544173106,0.3636749558057536,0.39086318195160774,0.39575210124471183,0.3841276962329978,0.46978571625641263,0.18801648277581895
Kcnk2,0.0779105511536246,0.10222625620986038,0.018800145460123832,0.22489944422220454,0.18697698077577946,0.05896193116915607,0.0,0.003985896428214755,0.0003707869448149967,0.3611895168660414,0.10780254401831943,0.4860576090418458,0.02432600211014949,0.056673594402056125,0.13889328911837526,0.2434347435489976,0.12416835774104334,0.0,0.017571985224846248,0.03630262107772184,0.2673992858218381,0.0,0.005910099408557893
Kctd12,0.0272636292487377,0.0015914430446339793,0.018754135376850126,0.7085089513266867,0.6521113243773411,0.32329171263264816,0.481297081919161,0.238675931534113,0.11379146506068563,0.7781657861120713,0.745583261015845,0.30141856955887986,0.419376381867548,0.11014384102029687,0.1889717588334854,0.810468288594363,0.06326767930306405,0.00043919097189023935,0.19980537813394642,0.37896532942485445,0.5456084495882251,0.6905505984142322,0.07289409484976059
Kit,0.11380107126922666,0.38219220775979534,0.003986132844917634,1.0407464976900935,0.603161762288869,0.3212101313356185,0.18424974186547557,0.26643995533453285,0.1371801284719705,0.9496146170563098,0.2538771721710618,0.8204625824369316,0.0891332073838159,0.1139241243184134,0.4367322365277757,0.4578215054311511,0.6911667900759361,0.08696196481057314,0.8567657668833468,1.4092966218014518,0.0008287939402646756,0.6794556540598536,0.03472741117350069
Lamp5,9.095390137312289e-05,0.9683289092453174,0.0,0.1968838426175805,0.02716022668552255,0.0,0.11764817782819562,0.015735676572940508,0.014414011031229253,0.18412537930957057,0.10214981993031857,0.004707613722401538,0.017996456602764124,0.01941748866702988,0.10011204645595433,0.23830065512397114,0.0,0.0001436233200017363,0.03896239633406728,0.045052442574065245,0.13383169339916468,0.0,0.004953195049269203
Lhx6,1.3193146351947123,0.02912573663457274,1.473536280849621,10.176516201443647,4.525421872976891,5.132886183231412,3.0204503449966738,3.393399889349993,0.34881531956405015,8.427410703940906,1.7345754767906068,1.2411936345587968,3.5077727334141224,1.0614898314920203,3.1551046188333856,6.124578416821729,4.437330508169354,0.4073226218860006,4.982647454200019,4.730834835194284,1.327942925325571,5.689005535022907,0.18685220725038085
